場所,日付,目的,取得した商品名,商品名,ジャンル,1個あたりの値段,個数,合計の割引,金額
イオン,2024-01-07,家族,ほぼカニ,かに風,加工品,248,1,124,134
イオン,2024-01-07,家族,さつま芋,さつま芋,野菜,158,1,0,171
イオン,2024-01-07,家族,人参,人参,野菜,158,2,0,341
イオン,2024-01-07,家族,柿の種チョコ,チョコ,お菓子,100,1,0,108
イオン,2024-01-07,家族,ふじりんご,りんご,果物,98,3,0,318
EXCELSIOR,2024-01-09,父,珈琲,珈琲,飲み物,380,1,0,380
KAMUKURA,2024-01-09,家族,美味しいラーメン,ラーメン,外食,820,1,0,820
LAWSON,2024-01-10,父,トンカツ&ゴボウサラダトルディーヤ,ご飯,主食,451,1,0,451
EXCELSIOR,2024-01-10,父,R・ブレンド ,珈琲,飲み物,380,1,0,380
業務スーパー,2024-01-11,家族,亀田製菓ハッピー,ハッピータウン,お菓子,78,1,0,84
業務スーパー,2024-01-11,父,キリン一番搾り,ビール,飲み物,227,1,0,250
業務スーパー,2024-01-11,家族,カルビー*000122かっぱえ,カッパえびせん,お菓子,98,1,0,106
業務スーパー,2024-01-11,家族,バラりんご赤,りんご,果物,137,1,0,148
業務スーパー,2024-01-11,家族,さ屋牛乳オハヨー,牛乳,乳製品,90,1,0,97
山安,2024-01-12,家族,キズPアジ,アジ,魚類,324,1,0,324
山安,2024-01-12,家族,キズパック金目,金目鯛,魚類,324,1,0,324
山安,2024-01-12,家族,韓国産小アジ(4枚,アジ,魚類,346,1,0,346
山安,2024-01-12,家族,サバ味醂2枚,サバ,魚類,324,1,0,324
山安,2024-01-12,家族,サバ味醂2枚,サバ,魚類,324,1,0,324
山安,2024-01-12,家族,キズパック金目,金目鯛,魚類,324,1,0,324
山安,2024-01-12,家族,サバ味醂,サバ,魚類,324,1,0,324
山安,2024-01-12,家族,サバ味醂2枚,サバ,魚類,324,1,0,324
イオン,2024-01-13,家族,スーパードライ,ビール,飲み物,248,1,0,268
イオン,2024-01-13,家族,TV焼きのり韓国産,のり,加工品,228,1,0,246
イオン,2024-01-13,家族,大ばちまぐろ,まぐろ,魚類,799,1,320,517
イオン,2024-01-13,家族,大ばちまぐろ,まぐろ,魚類,831,1,333,538
イオン,2024-01-13,家族,生アトランティッ,生アトランティッ ク,加工品,711,1,214,537
イオン,2024-01-13,家族,活〆ぶり(養殖),ぶり,魚類,490,1,196,318
イオン,2024-01-13,家族,活〆ぶり(養殖),ぶり,魚類,503,1,202,325
イオン,2024-01-13,家族,さんま開干,さんま,魚類,498,1,200,322
イオン,2024-01-13,家族,豚切りおとし国産,豚,肉類,621,1,249,402
イオン,2024-01-13,家族,豚切りおとし国産,豚,肉類,609,1,244,394
イオン,2024-01-13,家族,国産牛肉切落し,牛,肉類,632,1,316,341
イオン,2024-01-13,家族,さつま王豚しゃぶ用390X↓,豚,肉類,390,1,78,337
イオン,2024-01-13,家族,豪州産ラム,ラム,肉類,705,1,353,380
イオン,2024-01-13,家族,さつま王豚しゃぶ用,豚,肉類,500,1,100,432
イオン,2024-01-13,家族,作り手のたまご白,卵,乳製品,248,1,50,214
イオン,2024-01-13,家族,サトウの切り餅,餅,主食,298,3,0,966
イオン,2024-01-13,家族,さわら,さわら,魚類,350,1,140,227
イオン,2024-01-13,家族,銘柄豚うす切り490※↓,豚,肉類,490,1,98,423
イオン,2024-01-13,家族,人参,人参,野菜,158,1,0,171
イオン,2024-01-13,家族,国産小豆のお赤飯,豆,加工品,298,1,120,192
イオン,2024-01-13,家族,タマネギ,ねぎ,野菜,158,2,0,341
イオン,2024-01-13,家族,バナナ,バナナ,果物,90,1,0,97
イオン,2024-01-13,家族,ブロッコリー,ブロッコリー,野菜,26,3,0,84
イオン,2024-01-13,家族,雪国まいたけMパック,舞茸,野菜,88,1,0,95
イオン,2024-01-13,家族,生椎茸(菌床)使い切り,椎茸,野菜,88,1,0,95
イオン,2024-01-13,家族,なす,なす,野菜,98,2,0,212
イオン,2024-01-13,家族,コマツナ,小松菜,野菜,98,1,0,106
イオン,2024-01-13,家族,大ばちまぐろ,まぐろ,魚類,624,1,250,404
文左亭,2024-01-14,家族,鯛焼,たいやき,お菓子,140,6,0,840
イオン,2024-01-14,家族,森永ヨーグルト,ヨーグルト,乳製品,108,2,0,233
イオン,2024-01-14,家族,"石窯ミニフランス1,",パン,主食,338,3,507,548
イオン,2024-01-14,家族,石窯国産小麦&米粉ロー,パン,主食,238,1,119,129
イオン,2024-01-14,家族,BP成分無調整牛乳1L,牛乳,乳製品,188,2,0,406
イオン,2024-01-14,家族,TVBPのり茶漬け,のり,加工品,148,3,0,480
